mt,src,score
"Więc koncepcja tutaj, więc jeśli masz martwy lub uszkodzony organ, bierzemy bardzo mały kawałek tej tkanki, mniejszy niż połowa znaczka pocztowego.","So the concept here, so if you have a dead or damaged organ, we take a very small piece of this tissue, smaller than half the postage stamp.",4.25
"Zabójczą aplikacją, która przygotowała świat na urządzenia AGD, była żarówka.",The killer app that got the world ready for appliances was the light bulb.,4.25
"Ta osoba zaoferowała mi trzy grosze, a ja dostałem do trzech i pół.",This one person offered me three cents and I got him up to three and a half.,3.666666667
"Ale może mają inną zdolność, coś innego, co wydawałoby się nam równie irracjonalne, ale w rzeczywistości wykorzystują tam jakąś wielką możliwą wartość.","But maybe they have another ability, something else that would seem equally irrational to us, but they actually use some great possible value there.",4.083333333
"Czy możesz zgadnąć, co to jest ten zestaw danych.",Can you guess what this data set is?,4.333333333
I właśnie zostałem przeniesiony.,And I just got transferred.,4.333333333
To trwało przez całą drogę do renesansu i przez cały okres jego trwania.,It lasted all the way to and throughout the Renaissance.,4
"Patrząc na przykład na sześciokąt, przypomina on amebę, która nieustannie zmienia swój własny profil.",If you look at the hexagon for instance it is like an amoeba which is constantly changing its own profile.,3.916666667
"Pomyśl o komórce jak o sprzęcie Pomyśl o genach jako oprogramowaniu I w miarę, jak zaczynasz myśleć o życiu jako o kodzie, który jest wymienny, który może stać się energią, która może stać się pokarmem, który może stać się włóknem, który może stać się istotą ludzką, która może stać się całą serię rzeczy, wtedy musisz zmienić swoje podejście do tego, w jaki sposób zamierzasz zorganizować, jak sobie radzisz i jak myślisz o energii w zupełnie inny sposób.","Think of the cell as equipment Think of the genes as software and as you start thinking of life as a code that is interchangeable, which can become energy that can become a food that can become a fiber that can become a human being that can become a whole series of things, then you need to change your approach to how you plan to organize, how you manage and how you think about energy in a completely different way.",4.083333333
"Ukryta wiara w ciebie, a potem odpowiadasz na nią.","Hidden faith in you, and then you answer to her.",4.166666667
"Zanim napisał swój trzeci raport, przyznał się, że zawiódł i zamiast tego stworzył społeczeństwo konsumentów korzystających z opieki społecznej.",By the time he wrote his third report he confessed that he had failed and instead had created a society of welfare consumers.,4.583333333
Wyolbrzymiasz swoje obawy i boisz się upokorzenia porażki.,You exaggerate your fears and fear humiliation.,4.666666667
"Odpowiedź brzmi: tak, może.","The answer is yes, maybe.",4.666666667
"Wydawało mi się, że to dokładnie tak, jak w filmach, ale filmy nie przekazały ich w potężnym obrazie, który widziałem, pełen jasnej czerwieni, pomarańczy i szarości oraz pełnego kręgu eksplozji.","I thought it was exactly like in the movies, but the movies didn't pass them in a powerful painting that I saw, full of bright red, oranges and gray and a full circle of explosions.",3.583333333
"Aby spróbować odpowiedzieć na niektóre z tych pytań, ponownie zwracamy się do technologii do technologii biologicznej, w tym przypadku ponownie telemetria włącza radio na 10 gharialów i faktycznie śledzi ich ruchy Są obserwowani codziennie, gdy mówimy, aby spróbować dowiedzieć się, co to za tajemnicza toksyna jest.",In order to try to answer some of these questions we again turn to technology to biological technology in this case again telemetry putting radios on 10 gharial and actually following their movements They are being watched everyday as we speak to try to find out what this mysterious toxin is.,4.083333333
I przybywa do miasta. Jest złamanym człowiekiem.,And he comes to the town He is a broken person.,4.583333333
"W pewnym sensie Bernoulli mówił, że jeśli potrafimy oszacować i pomnożyć te dwie rzeczy, zawsze będziemy dokładnie wiedzieć, jak powinniśmy się zachować.","In a sense, Bernoulli said that if we were able to estimate and multiply these two things, we would always know exactly how we should behave.",5
Zaczął prasę Zaczął grawerować.,He started a press He started photoengraving.,3.5
"Oto Times Square, dwa strumienie, które połączyły się, tworząc mokradło na Times Square, tak jak było pod koniec rewolucji amerykańskiej.","These are Times Square, the two streams that joined together to create a swamp in Times Square, just as it was at the end of the American Revolution.",4.666666667
"Nawiasem mówiąc, nigdy nie rozumiałem konfliktu między abstrakcją a naturalizmem.","Incidentally, I never understood the conflict between abstraction and naturalism.",5
Yossi Vardi walczy z lokalnym ociepleniem.,Yossi Vardi fights local warming.,5
"Są to również te protokomórki zasilane smołą, które są również w stanie lokalizować zasoby w swoim środowisku.",These are also those tar-powered protocells that are also able to locate resources in their environment.,4.583333333
"Jeśli jest stożek światła wpadający do mojego oka, co widzę.",If there is a cone of light coming into my eye what do I see.,4.333333333
"Wiem dokładnie, że uderzasz w skórę.",I know exactly that you're hitting the skin.,4.166666667
"Nauka ma tendencję do patrzenia na świat w sposób racjonalny, na rzeczy ilościowe, które można zmierzyć i opisać, ale daje sztuce wspaniały kontekst zrozumienia.","Science tends to look at the world in a rational way, at quantitative things that can be measured and described, but gives art a wonderful context of understanding.",4.333333333
"Skutecznie zrobiłby to, że zmieniłby oznakowanie ziemniaka.",What he would effectively done is he would re branded the potato.,4.333333333
Publiczność musi.,Audience Must.,4.833333333
A to jest notatka akupunktury lub IM Pei to Niektóre małe mogą uczynić miasto lepszym.,And this is an acupuncture note or IM Pei is Some small ones can make the city better.,4.25
"Ten cienki pasek, który tu widzisz, to Afryka.",That thin belt you see here is Africa.,4.5
"I sprawia, że ​​ta rzecz jest skomplikowana.",And he makes this complicated thing.,4.083333333
"Pamiętam mojego nauczyciela Kiedy zacząłem swoją pierwszą lekcję, byłem przygotowany z patykami gotowymi do wyjścia.",I remember my teacher When I first started my very first lesson I was all prepared with sticks ready to go.,3.583333333
"Chcieli integracji zespołu, czyli maszyny działającej na członków zespołu, a nie odwrotnie.",They wanted band integration that is the machine acting upon the band members specifically not the other way around.,3.75
DB to w zasadzie DB to nazwa produktu w zasadzie biały dyfuzor szumów.,DB is basically DB is the name of the product essentially white noise diffuser.,4.166666667
"Ludzie są tak zaangażowani, że i tak mają ochotników, tak jak wolontariusze polityczni, którzy wachlują się na wsi, walcząc o swojego kandydata.",People become so engaged that they have volunteers just like political volunteers anyway who fan out over the countryside campaigning for their candidate.,4
Dosłownie przebili ścieżkę do naszych drzwi.,They literally crossed the path to our door.,4.666666667
"A potem, jeden po drugim, w odwrotnej kolejności chronologicznej, wymawiają się wchodzenia na przewijaną listę uczuć.","And then, one by one, in reverse chronological order, they pronounce themselves on a scrolling list of feelings.",3.916666667
"Jesteśmy wdzięczni, ale wiemy, że możemy przejąć kontrolę nad własnym losem, jeśli mamy wolę reform.",We are grateful but we know that we can take charge of our own destinies if we have the will to reform.,4
"Zauważ, że nie mamy wszystkich, którzy mają zdjęcie.",Notice we don't have everyone with a picture.,4.333333333
Nie używaj wielkich słów.,Don't use big words.,4.5
"Mamy już pewne wskaźniki produktywności w tym zakresie OK, jeśli umieścisz parę na polach węglowych lub naftowych, które działają od dziesięcioleci, możesz uzyskać naprawdę znaczny wzrost, jak ośmiokrotny wzrost produkcji To dopiero początek tego rzeczy.","We already have some productivity indicators in this area OK, if you put a pair in the coal or oil fields that have been operating for decades, you can get a really significant increase, like an eight-fold increase in production This is just the beginning of this thing.",4.083333333
"Sposób, w jaki to działa w systemie, polega na tym, że nikt nigdy nie patrzy na te znaki.",The way it works in the system is that no one ever looks at these signs.,4.666666667
"I oto jestem z kobietą w ciąży, która jest nosicielem wirusa HIV i się uśmiechamy Oboje uśmiechamy się, ponieważ jesteśmy bardzo pewni siebie, ponieważ wiemy, że ta młoda kobieta jest leczona, aby jej życie mogło zostać przedłużone, aby zająć się dzieckiem, którym jest zaraz rodzi.",And here I am with a pregnant woman who carries HIV and we both smile because we're very confident because we know that this young woman is being treated so that her life can be extended to take care of the baby she's about to give birth to.,3.666666667
"To jest zdjęcie asteroidy, która minęła nas w 2009 roku.",This is a picture of an asteroid that passed us in 2009.,5
"Jednak każdy blednie do znikomego znaczenia wraz z ukończeniem tego wspaniałego osiągnięcia technologii XXI wieku, cyfrowej superszybkiej autostrady.",Yet each pales to insignificance with the completion of that magnificent accomplishment of twenty first century technology the Digital Superhighway.,4.416666667
"Chciał nieść edukację i chciał wnieść technologię, a to są filary jego życia, ale także filary misji jednego laptopa na dziecko.","He wanted to carry education and he wanted to bring technology, and these are the pillars of his life, but also the pillars of the mission of one laptop per child.",3.833333333
"Cóż, wiesz, że ta druga grupa się mylisz.","Well, you know the other group is wrong.",3.166666667
"W rzeczywistości około 15 000 osób wypełniło formularze, mówiąc, że chcą spróbować.","In fact, about 15,000 people filled out forms saying they wanted to try.",4.583333333
Co robi ta mrówka? Czemu to pomaga?,What's that ant doing?,4.416666667
"Idź do zegara. To, co tu mamy, to coś, co wielu z was widziało tu trzy lata temu.",Go to the clock And what we have here is something many of you saw here three years ago.,4.25
"Myślisz, że to oczywiście nieprawda, ale takie jest wrażenie mediów i tak właśnie się dzieje.","You think that's not true, of course, but that's the impression of the media, and that's what happens.",4
"I bardzo szybko coś, nad czym pracowaliśmy od niedawna, to powierzenie nam przez burmistrza Londynu zaprojektowania nowego autobusu, który ponownie zapewni pasażerom wolność.",And just very quickly something we have been working on very recently is we were commissioned by the mayor of London to design a new bus that gave the passenger their freedom again.,4.333333333
"Chcemy wiedzieć, jak przechodzisz od wody i białka do płynnego Kevlaru do tego naturalnego Kevlaru.",We want to know how you go from water and protein to this liquid Kevlar to this natural Kevlar.,4.416666667
Jest jak tęcza.,It's like a rainbow.,5
"Mamy więc nowe, błyszczące, średnie i bardzo stare, ciemne.",So we got brand new ones shiny ones medium ones and very old dark ones.,3.916666667
"Ezra, nie pamiętam.","Ezra, I don't remember.",4.666666667
"A drugim wymiarem jest to, czy są tym, czym mówią, że są dla innych.",And the other dimension is are they what they say they are to others.,4.333333333
"Achilles był człowiekiem, który potrafił ukształtować historię, człowiekiem przeznaczenia i tym właśnie powinieneś być Aleksandrem.","Achilles was a man who could shape history, a man of destiny, and that's what you should be, Alexander.",4
Równoległe wszechświaty.,Parallel universes.,4.833333333
W prawdziwym życiu nie otrzymuję takiej informacji zwrotnej.,I don't get that kind of feedback in real life.,4.75
"Kiedy ktoś jest bardziej skłonny do zapamiętania, możemy dać mu samorodek w oknie.","When someone's more inclined to remember, we can give him a nudge in the window.",3.75
Oszczędzaj więcej jutro ułatwia to.,Save More Tomorrow makes it easy.,3.75
"To tylko dlatego, że mieliśmy konferencję na Wyspie Man.",It's only because we had a conference on the Isle of Man.,4.416666667
"Myślę, że tak naprawdę cała przeszłość to dopiero początek początku.",I think the whole past is actually just the beginning of the beginning.,4.583333333
"Myślałem, że mój pasmo węgierskich mentorów dobiegło końca, ale prawie natychmiast spotkałem Francisa Robicseka, węgierskiego lekarza, a właściwie kardiochirurga w Charlotte w Północnej Karolinie, wtedy pod koniec lat siedemdziesiątych, który był pionierem w chirurgii na otwartym sercu i majstrował w swoim garażu za swoim domem wynalazł wiele urządzeń, które są standardowymi częściami tych procedur.","I thought my Hungarian mentor band was over, but almost immediately I met Francis Robicsek, a Hungarian doctor, or actually a cardiosurgeon in Charlotte, North Carolina, then in the late 1970s, who pioneered open-heart surgery and tampered with his garage behind his home invented many devices that are standard parts of these procedures.",3.916666667
"To była kolejna rzecz, która naprawdę mnie poruszyła.",That was another thing that really touched me.,4.833333333
"Teraz mam na to plan i wymaga to przekonania większej liczby osób, w tym was wszystkich, do spędzania więcej czasu na graniu w większe i lepsze gry.","Now I have a plan for this and it requires more people, including all of you, to spend more time playing bigger and better games.",4.75
"Przypomina mu to słowo pudel barokowy barokowy Suzanne R, który wyrusza na wyścigi.",That reminds him of the word baroque barrack bark poodle Suzanne R he is off to the races.,3.25
"Ale było to trudne, kiedy urodziłem się z rozszczepem kręgosłupa, a moje nerki i pęcherz nie działały.","But it was hard when I was born with spina bifida, and my kidneys and bladder didn't work.",4.833333333
"Pod każdym względem ekonomicznym popyt na sztukę we wszystkich formach gwałtownie rośnie, co można stwierdzić z ceny biletów do opery, liczby sprzedanych książek, liczby wydanych książek, liczby wydanych tytułów muzycznych, liczby nowych albumów i tak dalej.",By any economic standard the demand for art of all forms is skyrocketing as you can tell from the price of opera tickets by the number of books sold by the number of books published the number of musical titles released the number of new albums and so on.,4.5
Szukają ich. Znajdują je w okresie kwitnienia.,"They're looking for them, they find them during the flowering period.",3.75
"Jest tutaj oś o wadze 30 40 kg, która nie służy żadnemu celowi.",There's an axle weighing 30 40 kg that doesn't serve any purpose.,3.916666667
"Jednym z nich była duża liczba znudzonych nastolatków, którzy po prostu nie lubili szkoły, nie mogli dostrzec związku między tym, czego nauczyli się w szkole, a przyszłymi zawodami.",One was large numbers of bored teenagers who just didn not like school couldn not see any relationship between what they learned in school and future jobs.,3.75
Nalini Nadkarni o konserwacji baldachimu.,Nalini Nadkarnia about canopy maintenance.,4.333333333
"Mówi, że mam coś innego, ale może to nie być dla ciebie.",And he says I have got something else but it may not be for you.,4.666666667
W obliczu szczególnie trudnych niepowodzeń lub zawiłości pojawia się naprawdę ciekawa dekoracja.,"In the face of particularly difficult failures or complexities, there is a really interesting decoration.",4.166666667
Widzimy więc galaktykę z powodu światła gwiazd.,So we see the galaxy because of the light of the stars.,4.5
Ale to było naprawdę dla nas bardzo ważne jako strategia.,But it was really to us very important as a strategy.,4.416666667
"I znowu może to być coś, co nie jest czymś, co promieniuje na zewnątrz.",And also again it can also it is something that you it is not something that is radiating outside.,4
Festiwal Filmowy Doha Tribeca odbył się w naszym nowym centrum kulturalnym Katara.,The Doha Tribeca Film Festival was held in our new cultural centre Katara.,4.333333333
Z czasem się zmieniają.,They do change over time.,4.5
"Chodzi mi o to, że to nie jest wiercenie ropy.","I mean, it's not drilling oil.",4.5
Napotkaliśmy biegaczy na ruchliwych punktach poboru opłat na autostradach i bez osoby w pętli samochód po prostu jeździ sam.,We encountered runners at busy toll collection points on highways and without a person in the loop the car just drives alone.,3.916666667
"I ten rodzaj relacji między projektantem a naukowcem zaczął się, kiedy byłem w szkole.",And that kind of relationship between a designer and a scientist started when I was in school.,4.833333333
"A czym byłem, wiesz, jak zamierzasz cokolwiek powiedzieć.","And what I was, you know how you're gonna say anything.",3.75
"Połączyła doświadczenie zawodowe i szkolenie z umiejętnościami życiowymi, których potrzebowały, takimi jak zarządzanie złością i pracą zespołową, a także jak rozmawiać z przyszłymi pracodawcami o tym, jak ich doświadczenia faktycznie pokazały lekcje, których się nauczyli, i ich chęć uczenia się więcej.",She combined employment experience and training with life skills they needed like anger management and teamwork and also how to talk to future employers about how their experiences actually demonstrated the lessons that they had learned and their eagerness to learn more.,3.916666667
"Dwie inne osoby, które znasz, są bardzo dobre w wykonywaniu drewnianych trzonów, ale groty do strzał są beznadziejne.","Two other people you know are very good at making wooden shafts, but arrowheads are hopeless.",3.583333333
"Więc kiedy dorastałem na naprawdę wiejskim obszarze w Maine, Internet miał dla mnie zupełnie inne znaczenie.",So when I was growing up in a really rural area in Maine the Internet meant something very different to me.,4.333333333
"Teraz matematyczny umysł natychmiast zauważy, że T w liczniku zwiększa wpływ, ale T w mianowniku zmniejsza wpływ.",Now the mathematically minded will see immediately that T in the numerator increases impact a bad thing but T in the denominator decreases impact.,4.416666667
"Ale bardzo podoba mi się sposób, w jaki jest pozowany.",But I quite love the way it is posed.,4.5
Tak nazywa się ikona naszego robota Jasona.,This is an icon of our robot Jason it is called.,4.833333333
Tutaj widzimy twarz młodego podmiotu po lewej stronie.,Here we see the face of the young subject on the left.,4.25
Hairdos bez ochrony praw autorskich.,Hairdos no copyright protection.,4.583333333
Oczywiście racja.,Obvious right.,4.333333333
"Istnieje wiele rodzajów kodów HTML, których możesz użyć do kontrolowania taktowania i modulacji głosów komputerowych i eksperymentowałem z nimi.",There are many types of HTML codes that you can use to control the clocking and modulation of computer voices and experimented with them.,4
"Więc jest ściana lodu na głębokości kilku tysięcy stóp, schodząca w dół do skały macierzystej, jeśli lodowiec jest osadzony na podłożu skalnym i unosi się, jeśli tak nie jest.","So there's an ice wall at the depth of a few thousand feet, going down to the rock, if the glacier is embedded on a rocky ground, and it floats if it isn't.",3.833333333
"Inną rzeczą, która stała się niewiarygodnie globalna, jest produkcja mięsa i ryb.",Another thing that has become incredibly global is the production of meat and fish.,4.583333333
Ponieważ w przeciwnym razie może stać się dość klaustrofobiczna.,Because otherwise it can get quite claustrophobic.,4.583333333
"Sugeruje to, że nikt nie jest zewnętrznym obserwatorem natury.",What this suggests is that no one is an outside observer of nature Okay.,4.583333333
"A jednak wielu darwinistów jest zaniepokojonych, trochę zaniepokojonych, chciałoby zobaczyć pewne ograniczenia tego, jak daleko posuwa się darwinizm.","And yet many Darwinists are concerned, a little concerned, they would like to see some limitations on how far Darwinism is going.",3.666666667
Teraz może zarządzać wszystkimi działaniami w swoim gospodarstwie.,Now he can manage all activities on his farm.,4.666666667
"CA Tak Tak jak wiesz, jak 10 druga wersja 10 11 i 12 Ponieważ my właśnie twoje slajdy są tak wspaniałe, a pomysły są tak wielkie, że nie mogę pozwolić ci zejść bez zobaczenia 10 11 i 12.","CA Just like you know how 10 second version 10 11 and 12 Because we just have your slides so great, and ideas are so big, I can't let you go down without seeing 10 11 and 12.",3.833333333
"Tniemy na sucho i pakujemy je, montujemy na teczce.",We cut we dry and we packed them we mounted them on a folder.,4.166666667
"Idę OK, wiesz dobrze.","I'm going OK, you know.",4.25
"I okazuje się, że im się to podobało i sprawiło, że byli szczęśliwi, niezbyt szczęśliwi, ale trochę szczęśliwi.","And it turns out that they liked it and made them happy, not very happy, but a little happy.",4
"Więc gdybym cię zapytał, dlaczego nie pójdziesz i znajdź mi chorobę w Burkina Faso w 1991 roku.",So if I asked you Why don not you go and find me the prevalence in Burkina Faso in 1991.,4.25
"Jeśli korzystasz z Twittera lub innych sieci społecznościowych i nie zdawałeś sobie sprawy, że jest to przestrzeń z wieloma Brazylijczykami, jesteś jak większość z nas.",Now if you are using Twitter or other social networks and you didn not realize this was a space with a lot of Brazilians in it you are like most of us.,3.75
"Mówił o tym, jak mandale starożytnej religii hinduistycznej były wyrzucane w niebo jako próba odzyskania poczucia porządku po chaosie wojny.",He talked about how the mandalas of ancient Hindu religion were kind of projected into the sky as an attempt to regain some sense of order after the chaos of war.,4.416666667
"Nie ma oceanu, nie ma systemu podtrzymywania życia.","There's no ocean, there's no life support system.",4.5
"Będę tańczyć i opierać się, tańczyć i wytrwać i tańczyć.","I will dance and resist, dance and persevere and dance.",3.916666667
Oprócz tego zmierzyliśmy prędkość dźwięku.,In addition to that we have measured the speed of sound.,4.916666667
"I tak jak mówię mojej rodzinie i żonie, przypomina mi za każdym razem, gdy ryzykujesz swoim życiem, wiesz, za każdym razem, gdy jedziesz do tego kraju.","And like I tell my family and my wife, she reminds me of every time you risk your life, you know, every time you go to this country.",3.833333333
"Możesz też wsiąść do samolotu i polecieć do Szanghaju, w kolejce przed Shandą, gdzie biura kosztują prawdopodobnie 600 700 dolarów i odzyskaj swoją postać, odzyskaj historię.",Or you can get on a plane fly to Shanghai queue up outside Shanda is offices cost probably 600 700 dollars and reclaim your character get your history back.,3.916666667
"Z drugiej strony w lewym dolnym rogu wykresu znajdują się kraje, które nie osiągają dobrego samopoczucia, typowo w Afryce Subsaharyjskiej.","On the other hand, in the lower left corner of the chart there are countries that do not get well, typically in sub-Saharan Africa.",4.25
"I widzieliśmy w kółko, w jaki sposób poezja mówionego słowa otwiera zamki.",And we saw over and over the way that spoken word poetry cracks open locks.,4.666666667
Demonstracja inhalatora Morton Ether Inhaler na Mass General w 1847 roku zapoczątkowała zupełnie nową erę chirurgii.,The demonstration of the Morton Ether Inhaler inhaler at Mass General in 1847 started a completely new era of surgery.,4.416666667
Więc czym jest zagrożenie terroryzmem nuklearnym.,So what is the threat of nuclear terrorism?,4.583333333
"Aby dać ci wyobrażenie o skali, instalacja ma około sześciu stóp szerokości, a najwyższe modele mają około dwóch lub trzech stóp wysokości.",Just to give you an idea of scale that installation there is about six feet across and the tallest models are about two or three feet high.,4.166666667
"A kiedy ktoś jest gotowy do zakupu produktu w swoim spersonalizowanym projekcie, klika Enter, a te dane są konwertowane na dane, które drukarka 3D odczytuje i są przesyłane do drukarki 3D, być może na komputerze stacjonarnym.","And when someone is ready to buy a product in their customized project, Enter clicks, and these data are converted to data that a 3D printer reads and is sent to a 3D printer, perhaps on a stationary computer.",3.583333333
Właśnie otworzyliśmy drzwi i wszyscy powinniście przez nie przejść.,We have just opened the door and it is for all of you to step through it.,4.666666667
"Raz w tygodniu spotyka się ze swoim mężem i mówi, że bardzo chciałabym, żebyś mi podziękowała za wszystkie rzeczy, które zrobiłem w domu i z dziećmi.",She once a week meets with her husband and says I would really like you to thank me for all these things I did in the house and with the kids.,3.583333333
"Metafora jest jasna, że ​​wchodzisz w górę jako jednostka, ale poprzez wyczerpanie poprzez poświęcenie wyłaniasz się jako społeczność, która po raz kolejny potwierdziła swoje poczucie miejsca na planecie.",And the metaphor is clear you go into the mountain as an individual but through exhaustion through sacrifice you emerge as a community that has once again reaffirmed its sense of place in the planet.,4.25
"A co by było, gdyby moja współlokatorka wiedziała o mojej przyjaciółce Fumi Onda, nieustraszonej kobiecie, która prowadzi program telewizyjny w Lagos i jest zdeterminowana, by opowiedzieć historie, o których wolimy zapomnieć.",Now what if my roommate knew about my friend Fumi Onda a fearless woman who hosts a TV show in Lagos and is determined to tell the stories that we prefer to forget.,4.166666667
"Tradycyjny model karze cię za eksperymenty i porażki, ale nie oczekuje mistrzostwa.",The traditional model it penalizes you for experimentation and failure but it does not expect mastery.,4.666666667
Więc angielska mania jest punktem zwrotnym.,So English mania is a turning point.,4.333333333
"Jedyną rzeczą, na której powinieneś się skupić, byłoby zmniejszenie ryzyka egzystencjalnego, ponieważ nawet najmniejszy spadek ryzyka egzystencjalnego po prostu przewyższyłby każdą inną korzyść, którą możesz mieć nadzieję osiągnąć.","The only thing you should focus on is the reduction of existential risk, because even the slightest decrease in existential risk would simply outweigh any other benefit you can hope to achieve.",4
"1926 Kurt Lewin, twórca psychologii społecznej, nazwał tę substytucję.","1926 Kurt Lewin, the creator of social psychology, called this substitution.",4.5
Pozwoliło nam faktycznie jeść wszelkiego rodzaju rzeczy.,It allowed us to actually eat all sorts of things.,4.416666667
Więc to jest naprawdę znaczące.,So this is really considerable.,4.416666667
"Oznacza to, że nie trzeba czekać na zajście reakcji chemicznych, nie trzeba używać odczynników, które mogą się wyczerpać, ani być ekspertem, aby uzyskać przydatne informacje.",That means there is no waiting for chemical reactions to take place no need to use reagents that can run out and no need to be an expert to get actionable information.,3.916666667
Jesteśmy ewolucyjnie stworzeni do wizji.,We're evolutionaryly made for vision.,4.833333333
Rozejrzyj się.,Look around you.,4.833333333
Jeden dwa trzy cztery pięć sześć siedem osiem dziewięć 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ah 25 tak.,One two three four five six seven eight nine 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ah 25 yes.,4.75
"Więc te czarne skrzynki, z którymi żyjemy i przyjmujemy za pewnik, są w rzeczywistości złożonymi rzeczami stworzonymi przez innych ludzi i możesz je zrozumieć.",So these black boxes that we live with and take for granted are actually complex things created by other people and you can understand them.,4.083333333
"Podczas gdy miasto Toronto najwyraźniej nie chce, abyś był zaangażowany w proces planowania, w przeciwnym razie ich reklamy wyglądałyby mniej więcej tak, a wszystkie informacje byłyby w zasadzie jasno przedstawione.",Whereas the city of Toronto clearly doesn not want you involved with the planning process otherwise their ads would look something like this with all the information basically laid out clearly.,3.666666667
Musisz przeczytać szczegóły raportu mammograficznego.,You need to read the details of the mammogram report.,4.75
"Straciłem wszelką wiarę w media, nieszczęsny żart, z którego wolałbym się śmiać, niż stać się jego częścią.",I have lost all faith in the media a hapless joke I would much rather laugh at than become a part of.,4.583333333
Niemniej jednak istnieje wyraźne rozróżnienie między jedzeniem a trucizną.,"Nevertheless, there is a clear distinction between food and poison.",4.416666667
"Idea połączonych danych polega na tym, że otrzymujemy wiele, wiele, wiele tych pudełek, które miał Hans, i otrzymujemy wiele, wiele, wiele rzeczy, które wyrastają.","The idea of the combined data is that we get many, many, many of those boxes that Hans had, and we get many, many, many things that grow up.",4.5
"A odpowiedź brzmi, że te wariacje są absolutnie niewiarygodne.",And the answer is that these variations are absolutely unbelievable.,4.166666667
Więc wszystkie te galaktyki się poruszają.,So all of these galaxies are moving.,4.166666667
"Powiedział, Fish. Nie wiem nic o rybach.","He said, Fish, I don't know anything about fish.",4
"Wkrótce doszło do długiej dyskusji i w końcu podszedł do mnie menadżer i powiedział, że bardzo mi przykro. Nie mamy cukru.",Pretty soon a lengthy discussion ensued and finally the manager came over to me and said I am very sorry We do not have sugar.,4.416666667
"Nie, byli naprawdę wielkimi maniakami i niewiele wiedzieli o sztuce.",No they were really big geeks and they didn not know much about art.,4.5
Jeden gen jest zmieniony z 20000 i spójrz na to.,One gene is changed out of 20000 and look at it.,4.666666667
"Myślę, że przyszłe gatunki inżynieryjne mogą być źródłem pożywienia, miejmy nadzieję, źródłem energii do rekultywacji środowiska i być może zastąpieniem przemysłu petrochemicznego.","I think that future engineering species can be a source of food, hopefully, a source of energy to rehabilitate the environment and perhaps a replacement of the petrochemical industry.",4.25
"Życzę więc wszystkiego najlepszego ze wszystkich możliwych podróży i odwagi, by mówić cicho.",So I wish you all the best of all the travels and the courage to speak quietly.,3.75
Ponieważ mózgi są drogie.,Because brains are expensive.,4.666666667
"Jego ciało jest w więzieniu, ale jego umysł jest wolny.",His body is in prison but his mind is free.,4.666666667
Dudnią w brzuch i zachwycają nawet fotografów oglądających spektakl.,They dangle in the belly and delight even the photographers watching the show.,4.333333333
Ubrany w tę nylonową torbę wykonaną w Chinach z nazwą burki.,Dressed in this nylon bag made in China with the name burka.,4.25
Ale potem dość szybko wyzdrowiały.,But they did recover quite fast afterwards.,4.583333333
Taka jest rzeczywistość naszego współczesnego życia.,That is the reality of our modern life.,4.583333333
"Przeczytaj ten wspaniały artykuł w New Yorker o tym, jak nasi echo boomers od 19 do 25 lat w Iraku nauczyli się nawzajem, jak pracować administratorem systemu Sys przez Internet na czatach.",Read this wonderful article in New Yorker about how our echo boomers from 19 to 25 years in Iraq learned how to work as a system administrator for Sys over the Internet on chat rooms.,3.583333333
"Istnieje wiele różnic między płciami, jeśli ktoś myśli, że mężczyźni i kobiety są do siebie podobni, po prostu nigdy nie miał chłopca i dziewczynki.","There are many gender differences if someone thinks that men and women are alike, they just never had a boy and a girl.",4.25
Musisz to sobie wyobrazić.,You are having to imagine it.,4.5
Dalszą drogą dla nas jest teraz standaryzacja tej technologii.,The way forward for us is now to standardize this technology.,4.666666667
"Ponieważ uważam, że teraz mamy okazję.",Because I think we have an opportunity now.,4.5
"I to dobrze, gdy robiłem to 10 lat temu, czyli 36 lat po odejściu Dalajlamy.","And that's good when I did it 10 years ago, 36 years after the Dalai Lama left.",4.166666667
W rezultacie masz dwie możliwości.,"As a result, you have two options.",4.75
"Mam też organizację charytatywną zajmującą się informacją, która wykonała ogromną pracę w Indiach.",And I have an information charity which has done huge scale amount of work in India.,4.583333333
Jeden gram złota to 30 euro.,One gram of gold is 30 euros.,4.833333333
"Nigdy nie mogę powiedzieć, czy jest włączony.",I can never tell if it's on.,4.666666667
"Teraz, kiedy dzieciak po prawej nie wstaje, wiemy, że dostał wstrząsu mózgu.","Now that the kid on the right doesn't get up, we know he's had a concussion.",4.583333333
"Aby to zrobić, mózg nie odczuwa bólu, który można zadać, wykorzystując cały wysiłek włożony w Internet i komunikację, i tak dalej, na światłowody podłączone do laserów, których można użyć do aktywacji w modelach zwierzęcych, na przykład w badaniach przedklinicznych te neurony i zobaczyć, co robią.","To do this, the brain does not feel the pain that can be caused, using all the effort put into the Internet and communication, and so on, on fiber optics connected to lasers that can be used to activate in animal models, for example in preclinical studies these neurons and see what they're doing.",3.666666667
"Niestety, nawet wtedy nie jest możliwe podsumowanie każdego TEDTalk indywidualnie.","Unfortunately, even then it is not possible to summarize each TEDTalk individually.",2.833333333
"Najlepszy obraz, jaki o tym wiem, pochodzi sprzed 650 lat.",The best image I know about this is from 650 years ago.,3.916666667
Ale tylko po prostu.,But it's just that.,4.25
